user_id,gender,married,has_children,home_city,total_sessions,avg_clicks,avg_flight_discount,avg_hotel_discount,total_flights,total_hotels,cancellation_rate,avg_bags,avg_hotel_nights,total_trips,traveler_cohort
23557,F,True,False,new york,12,15.42,0.15,0.18,3,4,0.08,1.0,7.33,7,Young Traveler
94883,F,True,False,kansas city,12,8.33,0.1,0.08,3,2,0.0,1.0,0.5,5,Business Traveler
101486,F,True,True,tacoma,13,26.15,0.08,0.0,4,5,0.08,1.75,7.6,9,Family Traveler
101961,F,True,False,boston,12,18.17,0.13,0.1,6,7,0.0,0.5,3.14,13,Young Traveler
106907,F,True,True,miami,14,26.29,0.15,0.2,3,4,0.07,3.67,8.5,7,Family Traveler
118043,F,False,True,los angeles,13,16.15,0.17,0.13,5,5,0.08,0.6,5.5,10,Young Traveler
120851,F,True,True,santa ana,13,25.31,0.18,0.0,5,4,0.08,0.6,8.0,9,Family Traveler
125845,F,True,False,el paso,13,26.15,0.15,0.07,6,6,0.08,0.67,4.83,12,Young Traveler
133058,F,False,False,austin,13,8.69,0.15,0.08,1,1,0.0,0.0,5.0,2,Young Traveler
149058,F,False,True,birmingham,12,15.42,0.05,0.0,7,7,0.08,0.57,7.29,14,Young Traveler
152583,F,False,False,colorado springs,10,20.2,0.15,0.15,3,2,0.1,1.33,2.0,5,Business Traveler
153982,F,False,True,toronto,11,23.0,0.0,0.15,6,6,0.09,0.83,5.0,12,Young Traveler
160754,F,True,True,new york,10,29.4,0.0,0.1,3,2,0.1,3.67,2.0,5,Family Traveler
164522,F,True,False,kansas city,10,13.9,0.05,0.05,3,2,0.1,1.0,13.0,5,Young Traveler
167852,F,False,False,tampa,13,10.69,0.1,0.1,0,0,0.0,0.0,0.0,0,Dreamer
171470,F,False,False,atlanta,9,50.67,0.1,0.0,4,2,0.22,0.5,0.0,6,Business Traveler
174997,F,False,False,grand rapids,9,29.67,0.0,0.1,4,3,0.11,0.5,2.0,7,Business Traveler
175032,F,False,False,houston,14,12.43,0.3,0.1,3,4,0.0,0.67,4.0,7,Young Traveler
181157,F,True,False,houston,10,37.8,0.18,0.15,5,5,0.1,1.0,6.0,10,Young Traveler
182191,F,False,True,phoenix,9,17.89,0.0,0.1,2,1,0.11,1.0,0.0,3,Business Traveler
187212,F,True,True,los angeles,12,15.58,0.22,0.13,3,3,0.0,0.67,2.0,6,Family Traveler
189676,F,False,True,fort worth,10,31.2,0.18,0.0,3,3,0.1,0.67,9.0,6,Young Traveler
190866,F,False,False,tallahassee,12,37.0,0.0,0.05,8,8,0.08,0.25,5.75,16,Young Traveler
195192,F,False,False,chicago,13,27.0,0.1,0.1,4,4,0.0,0.25,2.0,8,Business Traveler
204943,M,False,False,ottawa,11,33.09,0.15,0.0,10,9,0.09,1.0,5.56,19,Young Traveler
204997,F,True,False,kansas city,9,52.78,0.25,0.1,6,5,0.22,0.83,5.6,11,Young Traveler
205044,F,True,True,toronto,12,33.5,0.05,0.2,6,6,0.08,1.5,4.5,12,Family Traveler
206011,F,False,True,kansas city,12,28.25,0.05,0.15,6,5,0.08,0.5,7.2,11,Young Traveler
216796,F,False,False,cincinnati,10,20.5,0.17,0.1,4,4,0.2,1.0,11.5,8,Young Traveler
217114,O,True,True,long beach,11,26.45,0.05,0.15,2,1,0.09,1.0,0.0,3,Family Traveler
217136,F,False,True,little rock,10,32.3,0.18,0.0,3,3,0.1,1.33,2.0,6,Business Traveler
220725,F,False,False,stockton,13,42.31,0.15,0.05,7,5,0.15,0.14,3.75,12,Young Traveler
224996,F,False,True,halifax,10,31.7,0.0,0.1,4,2,0.1,0.5,0.0,6,Business Traveler
226367,F,False,False,washington,9,13.89,0.05,0.0,4,3,0.0,1.0,1.67,7,Business Traveler
228195,F,False,True,los angeles,11,21.91,0.2,0.0,2,1,0.09,2.0,0.0,3,Business Traveler
228872,M,False,False,san antonio,11,21.91,0.33,0.0,3,4,0.0,1.0,5.0,7,Young Traveler
229009,F,False,False,stockton,10,26.4,0.3,0.0,6,4,0.2,0.17,1.5,10,Business Traveler
229108,F,False,False,burlington,9,36.67,0.2,0.1,3,1,0.11,0.0,0.0,4,Business Traveler
229330,F,True,False,colorado springs,11,14.45,0.0,0.1,5,5,0.0,0.2,2.0,10,Business Traveler
232647,F,False,False,birmingham,10,12.7,0.18,0.0,3,3,0.1,1.0,9.0,6,Young Traveler
249521,F,True,True,ottawa,11,20.45,0.2,0.13,4,5,0.0,1.0,5.2,9,Family Traveler
252835,F,False,True,chicago,14,24.71,0.3,0.05,10,8,0.07,0.8,2.63,18,Business Traveler
258451,F,False,False,miami,12,18.33,0.15,0.0,1,3,0.08,0.0,12.0,4,Young Traveler
264470,F,False,True,bakersfield,11,11.73,0.1,0.1,2,2,0.0,0.5,4.5,4,Young Traveler
276512,F,True,True,austin,12,14.08,0.12,0.16,1,1,0.0,1.0,1.0,2,Family Traveler
281952,F,False,False,louisville,11,20.09,0.0,0.15,5,4,0.0,0.8,3.25,9,Young Traveler
283325,F,True,False,dallas,13,14.92,0.11,0.08,4,5,0.0,0.5,1.8,9,Business Traveler
290123,F,True,False,houston,13,20.15,0.0,0.0,8,7,0.0,0.88,2.29,15,Business Traveler
297546,F,True,False,new york,12,23.92,0.1,0.05,6,7,0.0,0.67,5.57,13,Young Traveler
298253,F,True,True,los angeles,12,13.0,0.3,0.15,3,1,0.0,0.67,5.0,4,Family Traveler
299476,F,True,False,atlanta,13,39.0,0.2,0.12,4,4,0.08,0.25,3.25,8,Young Traveler
306165,F,False,False,cleveland,11,12.55,0.1,0.05,0,0,0.0,0.0,0.0,0,Dreamer
306819,F,True,True,new york,11,32.55,0.1,0.05,3,3,0.09,0.33,1.0,6,Family Traveler
312488,M,True,False,new york,11,12.73,0.25,0.2,3,3,0.0,1.0,1.0,6,Business Traveler
313724,F,False,False,tulsa,10,40.3,0.1,0.0,7,8,0.1,0.71,4.13,15,Young Traveler
316527,F,True,True,winnipeg,11,17.09,0.18,0.05,4,4,0.0,0.25,3.0,8,Family Traveler
317688,F,False,True,indianapolis,12,15.33,0.25,0.08,6,5,0.0,0.5,1.6,11,Business Traveler
322867,F,False,False,mobile,11,12.64,0.13,0.1,2,3,0.0,0.5,18.33,5,Young Traveler
324191,F,False,False,san diego,11,17.82,0.12,0.15,4,4,0.0,0.5,3.75,8,Young Traveler
328590,F,False,False,san diego,11,39.82,0.1,0.15,6,4,0.09,0.17,3.33,10,Young Traveler
330764,F,False,False,detroit,11,38.45,0.13,0.08,3,5,0.09,1.0,5.25,8,Young Traveler
330893,F,True,True,oklahoma city,11,15.55,0.0,0.18,3,3,0.0,0.67,2.0,6,Family Traveler
331039,F,True,True,london,11,22.64,0.1,0.08,3,3,0.09,2.0,5.0,6,Family Traveler
334787,F,False,False,minneapolis,11,18.09,0.07,0.15,5,5,0.0,1.0,1.6,10,Business Traveler
337227,F,True,False,santa ana,10,11.6,0.0,0.05,1,1,0.0,1.0,10.0,2,Young Traveler
338086,F,False,True,washington,12,16.42,0.3,0.2,4,4,0.0,0.75,1.0,8,Business Traveler
340166,M,True,True,san francisco,11,9.18,0.23,0.1,0,1,0.0,0.0,2.0,1,Family Traveler
343928,F,True,False,el paso,10,16.1,0.3,0.1,4,3,0.0,0.5,4.33,7,Young Traveler
347778,F,False,False,las vegas,13,22.92,0.13,0.1,8,8,0.0,0.75,2.25,16,Business Traveler
348817,F,False,False,calgary,10,18.3,0.05,0.15,4,6,0.0,1.0,2.33,10,Business Traveler
348863,F,True,False,san antonio,11,10.82,0.0,0.07,0,0,0.0,0.0,0.0,0,Dreamer
